City,,liv_exp_low ( rent is included ),liv_exp_high ( rent is included ),,,Fx,liv_exp_low_hkd,liv_exp_high_hkd,,,,,
Ithaca (NY),USD,1200,2000,,,7.85,9420,15700,,,,,
Boston (MA),USD,2000,3500,,,7.85,15700,27475,,,,,
Minneapolis (MN),USD,1500,2500,,,7.85,11775,19625,,,,,
Bloomington (IN),USD,1200,2000,,,7.85,9420,15700,,,,,
Madison (WI),USD,1300,2200,,,7.85,10205,17270,,,,,
Atlanta (GA),USD,1500,2500,,,7.85,11775,19625,,,,,
"Washington, D.C",USD,2000,3500,,,7.85,15700,27475,,,,,
Hanover (NH),USD,1400,2300,,,7.85,10990,18055,,,,,
Atlanta (GA),USD,1500,2500,,,7.85,11775,19625,,,,,
Gainesville (FL),USD,1200,2000,,,7.85,9420,15700,,,,,
Wellesley (MA),USD,1800,3000,,,7.85,14130,23550,,,,,
Charlottesville (VA),USD,1300,2200,,,7.85,10205,17270,,,,,
Tempe (AZ),USD,1400,2300,,,7.85,10990,18055,,,,,
"College Station (TX),",USD,1200,2000,,,7.85,9420,15700,,,,,
College Park (MD),USD,1300,2200,,,7.85,10205,17270,,,,,
East Lansing (MI),USD,1200,2000,,,7.85,9420,15700,,,,,
Vancouver (BC),CAD,1800,3000,,,5.7,10260,17100,,,,,
Newcastle,GBP,900,1500,,,10.5,9450,15750,,,,,
Houston (TX),USD,1400,2300,,,7.85,10990,18055,,,,,
Chapel Hill (NC),USD,1300,2200,,,7.85,10205,17270,,,,,
"Wollongong, Dubai",AUD,2000,3500,,,5.1,10200,17850,,,,,
Notre Dame (IN),USD,1200,2000,,,7.85,9420,15700,,,,,
Raleigh (NC),USD,1400,2300,,,7.85,10990,18055,,,,,
Tucson (AZ),USD,1300,2200,,,7.85,10205,17270,,,,,
Pittsburg (PA),USD,1300,2200,,,7.85,10205,17270,,,,,
Irvine (CA),USD,1800,3000,,,7.85,14130,23550,,,,,
Auburn (AL),USD,1200,2000,,,7.85,9420,15700,,,,,
Waco (TX),USD,1200,2000,,,7.85,9420,15700,,,,,
Provo (UT),USD,1200,2000,,,7.85,9420,15700,,,,,
Fort Collins (CO),USD,1300,2200,,,7.85,10205,17270,,,,,
Columbia (MO),USD,1200,2000,,,7.85,9420,15700,,,,,
Eugene (OR),USD,1300,2200,,,7.85,10205,17270,,,,,
San Francisco (CA),USD,2500,4000,,,7.85,19625,31400,,,,,
Dallas (TX),USD,1500,2500,,,7.85,11775,19625,,,,,
Tampa (FL),USD,1400,2300,,,7.85,10990,18055,,,,,
Buffalo (NY),USD,1200,2000,,,7.85,9420,15700,,,,,
Waltham (MA),USD,1500,2500,,,7.85,11775,19625,,,,,
Cleveland (OH),USD,1200,2000,,,7.85,9420,15700,,,,,
Cincinnati (OH),USD,1300,2200,,,7.85,10205,17270,,,,,
Mansfield (CT),USD,1200,2000,,,7.85,9420,15700,,,,,
Halifax,CAD,1500,2500,,,5.7,8550,14250,,,,,
Denver (CO),USD,1500,2500,,,7.85,11775,19625,,,,,
Malibu,USD,2000,3500,,,7.85,15700,27475,,,,,
Fort Worth,USD,1300,2200,,,7.85,10205,17270,,,,,
Salem,USD,1200,2000,,,7.85,9420,15700,,,,,
Long Beach,USD,1500,2500,,,7.85,11775,19625,,,,,
Orange,USD,1500,2500,,,7.85,11775,19625,,,,,
Claremont,USD,1500,2500,,,7.85,11775,19625,,,,,
River Forest,USD,1300,2200,,,7.85,10205,17270,,,,,
Fairfield,USD,1300,2200,,,7.85,10205,17270,,,,,
Hempstead,USD,1400,2300,,,7.85,10990,18055,,,,,
Glassboro,USD,1200,2000,,,7.85,9420,15700,,,,,
Vermillion,USD,1200,2000,,,7.85,9420,15700,,,,,
Dartmouth,USD,1400,2300,,,7.85,10990,18055,,,,,
Phoenix,USD,1400,2300,,,7.85,10990,18055,,,,,
Southport,AUD,2000,3500,,,5.1,10200,17850,,,,,
Canyon,USD,1200,2000,,,7.85,9420,15700,,,,,
Las Vegas,USD,1300,2200,,,7.85,10205,17270,,,,,
Savannah,USD,1300,2200,,,7.85,10205,17270,,,,,
Penryn,GBP,900,1500,,,10.5,9450,15750,,,,,
Leura,AUD,1800,3000,,,5.1,9180,15300,,,,,
Valencia,USD,1500,2500,,,7.85,11775,19625,,,,,
La Jolla,USD,1800,3000,,,7.85,14130,23550,,,,,
Newcastle,GBP,900,1500,,,10.5,9450,15750,,,,,
Quebec City,CAD,1500,2500,,,5.7,8550,14250,,,,,
Milton Keynes,GBP,1000,1700,,,10.5,10500,17850,,,,,
Bloomfield Hills,USD,1300,2200,,,7.85,10205,17270,,,,,
Epsom,GBP,1000,1700,,,10.5,10500,17850,,,,,
Falmouth,GBP,900,1500,,,10.5,9450,15750,,,,,
Williamstown,USD,1300,2200,,,7.85,10205,17270,,,,,
Purchase,USD,1400,2300,,,7.85,10990,18055,,,,,
"Washington, D.C.",USD,2000,3500,,,7.85,15700,27475,,,,,
Santa Clara,USD,2000,3500,,,7.85,15700,27475,,,,,
Cranfield,GBP,900,1500,,,10.5,9450,15750,,,,,
Derry,GBP,900,1500,,,10.5,9450,15750,,,,,
Akron,USD,1200,2000,,,7.85,9420,15700,,,,,
Socorro,USD,1200,2000,,,7.85,9420,15700,,,,,
Orono,USD,1200,2000,,,7.85,9420,15700,,,,,
Rockhampton,AUD,1800,3000,,,5.1,9180,15300,,,,,
Bozeman,USD,1300,2200,,,7.85,10205,17270,,,,,
Thunder Bay,CAD,1500,2500,,,5.7,8550,14250,,,,,
Greenville,USD,1200,2000,,,7.85,9420,15700,,,,,
Charlottetown,CAD,1500,2500,,,5.7,8550,14250,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
